turns,speaker_role,utterance,theme_label,gemma_pred,mistral_pred,utterance_id
t-2/40,Customer,I made an online purchase. The transaction was declined b...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_a9c7e7ee_100023_5065597-1
t-10/40,Customer,Yeah. I'd like to I'd like you to check my account balanc...,check account balance,Check Account Balance,Check Account Balance,Banking_a9c7e7ee_100023_5065597-9
t-2/52,Customer,"This Peter Davis, and I have a problem that somebody took...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_a019df97_100215_1911876-1
t-40/52,Customer,I was looking into online banking. Maybe that's something...,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_a019df97_100215_1911876-39
t-34/97,Customer,Can can can you tell me what the last two amounts were? T...,get transaction history/details | inquire about past transactions,Dispute Transaction,Check Account Balance,Banking_3c5fd0dc_100033_3142912-33
t-4/83,Customer,I need to Can you please help me about transferring some ...,make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_a685e190_100449_5564251A1-3
t-6/20,Customer,I'm trying to find a ATM near me.,find atm,Find ATM Location,Find ATM Location,Banking_fef1fbeb_100454_1651294-5
t-2/25,Customer,yes I'm a customer with you guys and I have I have multip...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Account Inquiries & Disputes,Banking_ea89228e_100220_4306700-1
t-2/44,Customer,"Well, John. I've been looking over my statements and ther...",get transaction history/details | inquire about past transactions,Dispute Transaction,Financial Transactions and Bank Services,Banking_91c76015_100006_2015806A1-1
t-22/44,Customer,"first, could you give me my balance perhaps? Maybe I can ...",check account balance,Check Account Balance,Check Account Balance,Banking_91c76015_100006_2015806A1-21
t-2/56,Customer,"yes, I need to make a wire transfer.",make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_cf914d0e_100301_2464642-1
t-2/56,Customer,"yes. I need to, to I, I need my septic tank pumped out. A...",check account balance,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_ad18541b_100010_2464642-1
t-34/56,Agent,All right. Would you like for me to help set you up with ...,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_ad18541b_100010_2464642-33
t-22/25,Customer,OK. Can we close that account and just transfer the money...,make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_d9152734_100137_4306700-21
t-2/71,Customer,Yes. Hi there. I would like to see if I can get another c...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_9a4b808d_100190_237872-1
t-7/71,Customer,I believe I misplaced it.,inquire about card security | report/replace/lock lost/compromised card,Update Personal Information,Financial Transactions and Bank Services,Banking_9a4b808d_100190_237872-6
t-2/61,Customer,Hi Rose. My name is Kim and I need some help with you. I ...,find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_0f211f86_100430_834073-1
t-44/61,Customer,"no, I think that's everything. Like I said, I I would hav...",get branch info,Branch Location Request,"
Nearest Branch Location and Hours",Banking_0f211f86_100430_834073-43
t-2/19,Customer,"Hi, Robert. My name is Sarah Thomas. I'm calling because ...",open bank account,Open New Account,Account Inquiries & Disputes,Banking_438ba1dc_100440_1304991-1
t-3/19,Agent,OK. That that shouldn't be a problem I could suggest that...,find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_438ba1dc_100440_1304991-2
t-28/47,Customer,"No, thank you. But you said the it will be closed on Frid...",request email | request informational/confirmation email,Dispute Transaction,Financial Transactions and Bank Services,Banking_3e68b527_100105_834073-27
t-9/108,Customer,I need to make some transfers between my saving and my ch...,make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_17d41f90_100053_5564251A1-8
t-39/108,Customer,actually Can you tell me cuz I'll know which one is the s...,check account balance,Check Account Balance,Check Account Balance,Banking_17d41f90_100053_5564251A1-38
t-6/50,Customer,"no, actually I wanted to transfer to another institution ...",make external wire transfer,Update Personal Information,Personal Information Update,Banking_bce0c195_100115_2754676-5
t-4/39,Customer,Yeah I would to open account?,open bank account,Open New Account,"
Online Banking Setup Requests",Banking_948a4b50_100384_5387459-3
t-26/39,Customer,OK where's the local branch nearest me?,find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_948a4b50_100384_5387459-25
t-32/39,Customer,Oh OK yeah. I'll head in there. What are your hours?,get branch info,Branch Location Request,Financial Transactions and Bank Services,Banking_948a4b50_100384_5387459-31
t-14/58,Customer,yes my address is seven five three Dogwood. Now I may hav...,update customer address,Update Personal Information,Personal Information Update,Banking_bf963985_100026_4834688-13
t-37/58,Agent,OK the next closest one is about five miles away. It's fa...,get branch info,Branch Location Request,"
Nearest Branch Location and Hours",Banking_bf963985_100026_4834688-36
t-42/58,Customer,OK. Could you also give me a balance in my savings accoun...,check account balance,Check Account Balance,Check Account Balance,Banking_bf963985_100026_4834688-41
t-46/58,Customer,"no, thanks for the opportunity. The you know I should, I'...",inquire about online banking | set up/get online banking info,Open New Account,Financial Transactions and Bank Services,Banking_bf963985_100026_4834688-45
t-2/60,Customer,"Yes, ma'am. I just moved and I need to find out some info...",find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_b8239224_100367_4487984-1
t-35/60,Customer,"Oh gosh, I I need to get some of that trans. Can I can I ...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_b8239224_100367_4487984-34
t-48/60,Customer,"Yeah, thanks. I need to get it on my phone, because I hav...",inquire about online banking | set up/get online banking info,Update Personal Information,Financial Transactions and Bank Services,Banking_b8239224_100367_4487984-47
t-2/51,Customer,Good morning. I'm calling to see if there's a branch near...,find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_8cf73c2d_100449_1918405-1
t-17/51,Customer,"Yes, ma'am. I'd also like to check my balance.",check account balance,Check Account Balance,Check Account Balance,Banking_8cf73c2d_100449_1918405-16
t-2/67,Customer,yes. I'm calling today cuz I need to dispute a transactio...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Account Inquiries & Disputes,Banking_1b9a8e9e_100237_5565355-1
t-56/67,Agent,Is that OK with you? May I go ahead and cancel this card ...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_1b9a8e9e_100237_5565355-55
t-61/67,Customer,"Is there a way maybe possibly pay you know, like a fee of...",expedite processing/transfer | inquire about expedite processing,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_1b9a8e9e_100237_5565355-60
t-17/80,Customer,"Well, I want to transfer money from my savings to my chec...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_0e5d9fc5_100100_1788448-16
t-62/80,Customer,Much is. Is. Is left in that savings?,check account balance,Money Transfer/Account Access,Check Account Balance,Banking_0e5d9fc5_100100_1788448-61
t-2/60,Customer,"Yes, I was calling in. I wondered a couple things but fir...",make internal transfer,Internal Funds Transfer,Account Inquiries & Disputes,Banking_2d47865d_100094_3665771-1
t-20/60,Customer,"Yes. actually, I want to dispute some charges.",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Financial Transactions and Bank Services,Banking_2d47865d_100094_3665771-19
t-51/60,Customer,just one more thing. is there any way that I can access t...,inquire about online banking | set up/get online banking info,Open New Account,Account Inquiries & Disputes,Banking_2d47865d_100094_3665771-50
t-2/48,Customer,Hi Alysha. I was actually calling to check the balance on...,check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_9bcfcce2_100477_1368944A3-1
t-32/48,Customer,I also have another question. I would like to know if you...,find atm,Find ATM Location,Find ATM Location,Banking_9bcfcce2_100477_1368944A3-31
t-2/83,Customer,Hi. My name is Larry Billups and I'm calling to see if yo...,find atm,Find ATM Location,Find ATM Location,Banking_65a22b23_100470_237872-1
t-2/78,Customer,"Yes, my name is Wilbur Johnson, and I'm trying to find my...",find branch,Dispute Transaction,Account Inquiries & Disputes,Banking_f1c18ab5_100026_804259-1
t-15/78,Customer,I just wanted to know my balance.,check account balance,Check Account Balance,Check Account Balance,Banking_f1c18ab5_100026_804259-14
t-2/51,Customer,"Hi Rose, my name is Kim. I need some help with I need to ...",make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_7064819a_100313_834073-1
t-4/42,Customer,"Actually, it wasn't the best, and it's part of the reason...",get transaction history/details | inquire about past transactions,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_3e58ad93_100116_1918405-3
t-2/33,Customer,"yes, hi I'm calling in I wanted to make a transfer from m...",make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_eb11cc29_100053_3665771-1
t-2/49,Customer,Hello Jannah. I'm calling to check my account balance ple...,check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_fa545d67_100018_1918405-1
t-34/49,Customer,OK and I could also could you also check the balance on m...,check account balance,Check Account Balance,Check Account Balance,Banking_fa545d67_100018_1918405-33
t-2/31,Customer,"yeah, my wife, she she's been driving on some bad tires a...",check account balance,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_02fae2cf_100008_2464642-1
t-2/60,Customer,"Yes, I'm calling today about seeing if I can get a credit...",open credit card,Report Lost/Stolen Card,Account Inquiries & Disputes,Banking_20bd5de5_100016_914374-1
t-8/60,Customer,But yes. I need a give up my check balance.,check account balance,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_20bd5de5_100016_914374-7
t-45/60,Customer,"Yes. I would like to know my savings, please.",check account balance,Check Account Balance,Check Account Balance,Banking_20bd5de5_100016_914374-44
t-2/48,Customer,"yes, I'm trying to find out what my account balance shows.",check account balance,Check Account Balance,Check Account Balance,Banking_9b415570_100001_1951334-1
t-2/68,Customer,Hello. I'm trying to find my account number on the mobile...,get tech support,Open New Account,"
Online Banking Setup Requests",Banking_f4e4594e_100223_3730990-1
t-16/68,Customer,"Oh yes. I see it. Thank you. Also, one more thing. I want...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_f4e4594e_100223_3730990-15
t-12/26,Customer,"Oh, no. Not with traffic the way it is midtown. hey what'...",find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_dfa7636d_100436_5544050-11
t-18/26,Customer,"no, no. That's fine. That's fine. how late are you guys o...",get branch info,Branch Location Request,Financial Transactions and Bank Services,Banking_dfa7636d_100436_5544050-17
t-22/83,Customer,"Well, I wanna open a checking account. I have a savings b...",open bank account,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_854eafde_100367_1788448-21
t-39/83,Customer,Yeah I'mma go ahead and put about three hundred in there.,make internal transfer,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_854eafde_100367_1788448-38
t-67/83,Agent,And it they should go directly within there. do you need ...,check account balance,Internal Funds Transfer,"
Online Banking Setup Requests",Banking_854eafde_100367_1788448-66
t-58/90,Customer,Urgent. Said something about sweepstakes winner gonna be ...,get transaction history/details | inquire about past transactions,Dispute Transaction,Financial Transactions and Bank Services,Banking_fb744156_100037_3142912-57
t-2/45,Customer,Yes. My name is mister Johnson and I'm trying to figure o...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Account Inquiries & Disputes,Banking_4ec72c06_100208_804259-1
t-32/45,Agent,OK. Would you like me to update the address on your account?,update customer address,Update Personal Information,Personal Information Update,Banking_4ec72c06_100208_804259-31
t-2/48,Customer,"yeah, I got this letter in the mail and it says something...",report notice,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_b338832c_100040_2464642-1
t-29/48,Customer,"Well that's an option, if you could give me the link and ...",inquire about online banking | set up/get online banking info,Update Personal Information,Financial Transactions and Bank Services,Banking_b338832c_100040_2464642-28
t-5/60,Customer,Yeah so I checked my credit card account balance and I no...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_e44c7e15_100005_2626587-4
t-53/60,Customer,So just a couple of so there has been a couple of charges...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_e44c7e15_100005_2626587-52
t-55/60,Customer,OK. So I'll just go to the branch and the branch is gonna...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_e44c7e15_100005_2626587-54
t-3/53,Agent,so you would need to dispute a transaction?,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_30e3494e_100237_834073-2
t-2/43,Customer,my name's Edward Elrick. Just calling in to get some info...,check account balance,Open New Account,Account Inquiries & Disputes,Banking_300eee2a_100010_5240731-1
t-24/43,Customer,Yeah I just wanted to check the balance on my account. No...,check account balance,Check Account Balance,Check Account Balance,Banking_300eee2a_100010_5240731-23
t-28/43,Customer,is there anything that's pending on that? And do you happ...,check account balance,Check Account Balance,Check Account Balance,Banking_300eee2a_100010_5240731-27
t-30/43,Customer,Oh OK. is there any way you can transfer three thousands ...,make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_300eee2a_100010_5240731-29
t-36/43,Customer,Oh no no thanks right now. I I just don't have the time. ...,find branch,Open New Account,Find ATM Location,Banking_300eee2a_100010_5240731-35
t-2/56,Customer,Hi there. My name is Danny Burns. Can you can you tell me...,check account balance,Check Account Balance,Check Account Balance,Banking_931fdb24_100472_237872-1
t-4/56,Customer,"nevermind. like, can you just give me a couple nearby ATM...",find atm,Find ATM Location,Find ATM Location,Banking_931fdb24_100472_237872-3
t-2/58,Customer,my debit card was stolen and I'm not sure what I need to do.,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_99b49990_100170_1951334-1
t-39/58,Customer,"Yes, please cancel it.",inquire about card security | report/replace/lock lost/compromised card,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_99b49990_100170_1951334-38
t-41/58,Customer,OK and will I get my money back from that transaction for...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_99b49990_100170_1951334-40
t-2/60,Customer,yeah I need to update my email address in my personal inf...,update email,Update Personal Information,Personal Information Update,Banking_39c57a18_100294_4276108-1
t-2/65,Customer,Hello. This is Peter Davis. I want to make a money transf...,find atm,Request Wire Transfer,Wire Transfer Requests,Banking_1cbe62d6_100459_1911876-1
t-2/129,Customer,I want to make wire transfer.,make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_eadecac5_100330_5038881-1
t-2/42,Customer,Hi Susan. this is Brian. I'm trying to find an an ATM nea...,find atm,Find ATM Location,Find ATM Location,Banking_0305a745_100471_4145611A1-1
t-2/42,Customer,"Yes, ma'am. I'm calling cuz I need to make a wire transfe...",make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_4892d86e_100320_1918405-1
t-2/70,Customer,yes I can't find any stores around here that would give m...,find branch,Report Lost/Stolen Card,"
Nearest Branch Location and Hours",Banking_8c59edc7_100423_237872-1
t-48/70,Agent,All right sir and it looks like you don't have online ban...,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_8c59edc7_100423_237872-47
t-2/57,Customer,yes. I'd just looked at my account and there's a transact...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_cbac962b_100249_4834688-1
t-29/57,Customer,"OK. by the way, I I I I want to just check on one thing. ...",update customer address,Update Personal Information,Personal Information Update,Banking_cbac962b_100249_4834688-28
t-36/57,Customer,Could you could you give me a balance on that that checki...,check account balance,Check Account Balance,Check Account Balance,Banking_cbac962b_100249_4834688-35
t-10/34,Customer,I'd like for you to check my account balance.,check account balance,Check Account Balance,Check Account Balance,Banking_12b98d7d_100006_5065597-9
t-2/67,Customer,I need to report a lost credit card.,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_f244f2aa_100192_4276108-1
t-37/67,Customer,yeah. I have a charge to dispute.,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_f244f2aa_100192_4276108-36
t-56/67,Agent,OK. A T and T. All right. What we're gonna do is we'll la...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_f244f2aa_100192_4276108-55
t-58/67,Agent,OK. Would you like me to transfer funds into another acco...,make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_f244f2aa_100192_4276108-57
t-5/40,Agent,Oh my goodness I'm so sorry to hear that. If you would li...,find atm,Find ATM Location,Find ATM Location,Banking_8b722c2b_100456_1918405-4
t-2/28,Customer,my name is Kyle Goodwin. G O O D W I N. And I need to fin...,find atm,Find ATM Location,Find ATM Location,Banking_9b6a612d_100455_2464642-1
t-8/28,Customer,OK. I. What. What. What's the daily draw. Withdrawal limi...,inquire about limits | perform operations with limits,Find ATM Location,Find ATM Location,Banking_9b6a612d_100455_2464642-7
t-10/28,Customer,All right. I. I need. I need to do an a. An account balan...,check account balance,Check Account Balance,Check Account Balance,Banking_9b6a612d_100455_2464642-9
t-2/36,Customer,". Yeah, my name is Joe Spring. I need to update some info...",update personal info,Update Personal Information,Personal Information Update,Banking_361b7ad9_100255_378816-1
t-23/36,Agent,OK Mr. Spring. Let me confirm back your information you h...,inquire about online banking | set up/get online banking info,Update Personal Information,Personal Information Update,Banking_361b7ad9_100255_378816-22
t-28/42,Customer,Yes. I believe that it has been hacked. I keep getting ra...,make internal transfer,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_6940c857_100121_5037344-27
t-39/42,Customer,"Yes. Yes, there is one more thing I would like you to do ...",check account balance,Check Account Balance,Check Account Balance,Banking_6940c857_100121_5037344-38
t-29/81,Customer,I need to close that account and have it have it all tran...,make external wire transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_1ffea9fb_100137_4487984-28
t-31/81,Customer,Yeah. Could I have my balance?,check account balance,Check Account Balance,Check Account Balance,Banking_1ffea9fb_100137_4487984-30
t-57/81,Customer,You know would it be possible to just come in and get a c...,inquire about checks | order/deposit check,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_1ffea9fb_100137_4487984-56
t-2/74,Customer,This is Jennifer Johnson. I just got this notice in the m...,report notice,Dispute Transaction,Account Inquiries & Disputes,Banking_6810f1e0_100110_5193150-1
t-6/62,Customer,Well I I I need to actually make an internal transfer. An...,make internal transfer,Internal Funds Transfer,Wire Transfer Requests,Banking_89a75ff1_100080_804259-5
t-35/88,Customer,just a minute I don't have I don't recognize this transac...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_4ae7fff9_100206_237872-34
t-2/66,Customer,"Hi Bernard, my name is Karen Brown. I would like to dispu...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_b5dc06c4_100229_1304991-1
t-2/44,Customer,Hi yes. I was calling today to see if you can help me fin...,find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_149e74e9_100488_5565355-1
t-16/44,Customer,You know what I do apologize but that's not gonna work fo...,find atm,Find ATM Location,Find ATM Location,Banking_149e74e9_100488_5565355-15
t-27/44,Customer,Well. OK. If I wanted to take money out of the ATM it's u...,inquire about limits | perform operations with limits,Find ATM Location,Find ATM Location,Banking_149e74e9_100488_5565355-26
t-2/64,Customer,"yes. Hi Kayleen. My name's Andrea, and I was hoping you c...",check account balance,Check Account Balance,Check Account Balance,Banking_3651a6f1_100050_2181211-1
t-24/64,Customer,"Yeah. Actually, I have a question. Would it be possible f...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_3651a6f1_100050_2181211-23
t-3/112,Customer,"Hi, Susan. I'd like to open a a new account at the bank.",open bank account,Open New Account,"
Online Banking Setup Requests",Banking_ac4dd4c3_100363_4145611A1-2
t-61/112,Customer,"Well, I don't know. it. Just to set it up? I actually I I...",make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_ac4dd4c3_100363_4145611A1-60
t-6/55,Customer,No. I was looking to transfer funds. To another account.,make external wire transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_c479839d_100140_2754676-5
t-38/47,Customer,other than what I just go to the website and I can regist...,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_d87f04c5_100417_4695710-37
t-37/66,Customer,"yes. I also need to replace a debit card that I lost, but...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Transfer Funds Between Accounts,Banking_f41ea00f_100143_1951334-36
t-30/47,Customer,OK great and while I have you can I check my account bala...,check account balance,Check Account Balance,Check Account Balance,Banking_fc5d6532_100416_834073-29
t-2/65,Customer,I've lost my card! I don't know if someone stole it. I do...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_f28cf226_100169_1425178-1
t-4/55,Customer,"Yeah, I had a couple of things I wanted to do today but f...",update email,Update Personal Information,Personal Information Update,Banking_d92e6888_100294_5240731-3
t-32/55,Customer,"Yeah, I actually found a different bank that has a higher...",make external wire transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_d92e6888_100294_5240731-31
t-2/41,Customer,"Hi Rose, my name is Kim. I'm actually calling back. I I c...",find atm,Find ATM Location,Find ATM Location,Banking_8fc299cb_100471_834073-1
t-21/28,Customer,OK I definitely want to close it and I definitely want to...,make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_e615d768_100140_4306700-20
t-2/45,Customer,"Yeah, I need to check my balance on my checking.",check account balance,Check Account Balance,Check Account Balance,Banking_90880741_100001_1860723-1
t-19/45,Customer,"Yeah, I was spent a lot more money. My my I just had a fa...",inquire about limits | perform operations with limits,Dispute Transaction,Account Inquiries & Disputes,Banking_90880741_100001_1860723-18
t-2/37,Customer,"Hi, Rose, my name is Kim, and I need to update some perso...",update personal info,Update Personal Information,Personal Information Update,Banking_4c5434e4_100260_834073-1
t-13/133,Customer,I have dispute the transaction.,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_ac839633_100208_4812696-12
t-112/133,Customer,"OK, you will block the card, you will lock the card in or...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_ac839633_100208_4812696-111
t-22/37,Customer,is there a way you can check my savings account balance a...,check account balance,Check Account Balance,Check Account Balance,Banking_5c7c8879_100004_2626587-21
t-2/60,Customer,I want to open a new account today.,open bank account,Open New Account,"
Online Banking Setup Requests",Banking_4462ff9b_100381_5193150-1
t-16/79,Customer,yes. I was calling to find a ATM. Near me.,find atm,Find ATM Location,Find ATM Location,Banking_1bda8b59_100497_1788448-15
t-37/79,Customer,"I wanted to have a questions of, there's a Kenwood Mall. ...",find branch,Find ATM Location,Find ATM Location,Banking_1bda8b59_100497_1788448-36
t-62/79,Customer,"Yes, you me get my balance of my savings.",check account balance,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_1bda8b59_100497_1788448-61
t-2/61,Customer,Yes. I'd like to update my checking account information. ...,update personal info,Check Account Balance,Account Inquiries & Disputes,Banking_8be12ad8_100294_1701458-1
t-43/61,Agent,"Yes. We most definitely can set up a, a transfer over to ...",make external wire transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_8be12ad8_100294_1701458-42
t-2/58,Customer,"Yes, hi. I'm calling in. My I wanna dispute some charges ...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Account Inquiries & Disputes,Banking_b73148be_100204_3665771-1
t-50/58,Agent,Good. All right. let's see here now. I do see that you do...,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_b73148be_100204_3665771-49
t-57/68,Customer,Yes. Can I update my personal information?,update personal info,Update Personal Information,Personal Information Update,Banking_b1a2445a_100493_5037344-56
t-2/45,Customer,Hello I'm calling to transfer the main funds from my clos...,make external wire transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_65de8a41_100149_5037344-1
